Attribute Reg ID,Physical Attribute Name,Logical Attribute Name,Description,Dataset Reg ID,Sequence Number,DataType,Length Precision,Scale,Format
,geo_division,Geography,"Different geographic level participant demographic data such as national, Regional or state",DSET000111,1,NUMBER,,,
,dem_cat,Demographic category,"Categories such as race,ethinicity,sex or socialeconnomic status",DSET000111,2,VARCHAR,,,
,dem_group,Demographic group,"Hispanic,Native,White, Others for population division analysis",DSET000111,3,VARCHAR,,,
,time_period,Population comparison time period,Time period when the Census data is collected for analysis,DSET000111,4,VARCHAR,,,
,program_office,Americorps prog office,"Different volunteer programs offered by Americorps such as MemberProg, NCCC,Seniors(All)",DSET000111,5,VARCHAR,,,
,service_region,Volunteer program region,Various regions across USA,DSET000111,6,VARCHAR,,,
,State,Volunteer program state,Various states across USA,DSET000111,7,VARCHAR,,,
,census_pop_tot,Census Total Population ,Total census level population,DSET000111,8,NUMBER,,,
,count_tot,Total Count,AmeriCorps total count,DSET000111,9,NUMBER,,,
,count_dem_grp,Demographic Group Count,Demographic group level count,DSET000111,10,NUMBER,,,
,odds_ratio_estimate,Odds ratio estimate for pop comparison,Odds ratio estimate for pop comparison,DSET000111,11,NUMBER,,,
,representation,Representation category,"Overpresentation,UnderPresentation, No Observable Difference",DSET000111,12,VARCHAR,,,
,mag_range_size,Magnitude range size,Value in numbers,DSET000111,13,NUMBER,,,
,Significance,Results significance,Results Validity,DSET000111,14,VARCHAR,,,
,cscore,Credit Score,Credit score at the time of mortgage origination,DSET000112,1,NUMBER,,,
,frst_dat_fix,First Payment Date,Date when first mortgage payment was made,DSET000112,2,TIMESTAMP,,,
,frst_homebyer_flg,First Time Homebuyer Flag,Flag set to 1 if the buyer is first time home buyer else 0,DSET000112,3,VARCHAR,,,
,maturity_dt,Maturity Date,Mortgage Maturity date,DSET000112,4,TIMESTAMP,,,
,MSA_Code,Metropolitan Statistical Area (MSA) Or Metropolitan Division,MSA values from the 2010 census and 2013 census were applied to all loans in the Single Family Loan-Level Dataset.,DSET000112,5,NUMBER,,,
,MI_percent,Mortgage Insurance Percentage (MI %),Mortgage Insurance percent during Origination,DSET000112,6,NUMBER,,,
,num_units,Number of Units,"Properties’s number of units.1-4 for Single family, more for Co-Op, Condo etc ",DSET000112,7,NUMBER,,,
,occ_status,Occupancy Status,"Denotes whether the mortgage type is owner occupied, second home, or investment property.",DSET000112,8,VARCHAR,,,
,CLTV,Original Combined Loan-to-Value (CLTV),Original Combined Loan-to-Value during Origination,DSET000112,9,NUMBER,,,
