Dataset Name,Dataset Schema Version,Virtual Folder Name,Datasource URI,Column Name,Column Value Sequence,Column Frequency_Value,Frequency_Count
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,amrt_mnths,1,,9500
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,amrt_type,1,FRM,9499
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,amrt_type,2,25,1
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,1,765,228
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,2,781,196
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,3,801,183
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,4,762,183
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,5,776,173
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,6,786,171
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,7,790,170
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,8,808,157
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,9,792,156
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,10,766,148
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,11,753,140
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,12,750,139
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,13,783,132
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,14,773,130
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,15,746,128
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,16,791,123
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,17,797,119
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,18,794,116
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,19,798,116
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,brwr_ocsr,20,780,115
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,channel,1,R,6625
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,channel,2,C,1606
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,channel,3,B,1269
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,1,776,177
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,2,765,120
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,3,793,108
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,4,786,107
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,5,726,103
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,6,709,96
Single-Family Historical Loan Performance,1,Single_Family_S3,s3-us-east-2,co_brwr_ocsr,7,801,95
